00410612,Java编程,Java Programming 
00432267,工程图学及其应用,Engineering Drawing and Its Application 
00432300,气候变化：全球变暖的科学基础,Climate Change: The Scientific Basis for Global Warming 
01230030,C程序设计,The C Programming 
01635010,大学生健康教育,Health Education for College Students 
01635042,大学生心理素质拓展,Students Mental Ability Development 
01630140,认知神经科学,Cognitive Neuroscience 
01635020,生活中的心理学,Psychology in the Normal Life 
01832550,电视节目制作与策划,TV Production 
02033620,古典文献学基础,Introduction of Ancient Chinese Classics & Archives 
02033940,中国古代文学,Chinese Classic Literature 
02131772,现代希腊语,（2） Modern Greek  (2)
02131992,基础意大利语（2）,Basic Italian  (2)
02133102,基督教拉丁语(2),Ecclesiastical Latin 
02131991,基础意大利语（1）,Basic Italian  (1)
02113121,拉丁语阅读(2),Intermediate Latin 2 
02132130,西方史学史专题,Topical Studies in Western Historiography 
02330360,马克思主义宗教学,Marxist Philosophy of Religion 
02330460,全球化问题研究,Study on Globalization 
02330500,环境哲学,Philosophy of Environment 
02332137,圣经选读：智慧文学,Bible Elective：Wisdom Literature 
02333170,后现代主义哲学,Philosophy of Postmodernism 
02335122,复杂性科学与哲学,Science of Complexity and Philosophy 
02432060,东亚共同体：政治、经济与文化,Studies on East Asian Community 
02433220,香港澳门概论,Introduction to Hong Kong and Macao 
02433260,中国与朝鲜半岛,China and Korean Peninsula 
02535150,风险管理与保险,Principles of Risk Management 
02534940,投资理财,Investment and wealth management 
02535030,企业全面风险管理,Enterprise Risk Management 
02831520,会计学,Accounting  
03033380,中国禁书史,The history of chinese banned books 
03530242,公共阿拉伯语（下）,Basic Arabic  (2)
03530442,公共韩国语（下）,Public Korean  (2)
03530500,当今韩国,-亚洲及全球经济事件 Contemporary Issues in Korea, Asia and Global Economy 
03532252,公共日语,(二) College Japanese  (2)
03631612,公共法语（下）,College French  (2)
03633611,公共西班牙语（上）,College Spanish  (1)
03633612,公共西班牙语（下）,College Spanish  (2)
03635011,公共葡萄牙语（一）,College Portuguese  (1)
03730282,俄语二外(下),Russian as Second Foreign Language  (2)
03730801,中级乌克兰语,Ukrainian language 
03833352,古希腊语（二）,Classical Greek 2 
03834290,戏剧实践,Drama in Performance 
03930010,西方戏剧文学,Dramatic Literature of the West 
03632612,公共德语（下）,College German  (2)
04130350,运动、营养与减肥,Exercise,Nutrition and Weight Losing 
04130370,围棋（初级班）,WeiQi  
04130490,桥牌,Bridgetraining  
04130500,国际象棋（初级班）,Chess  
04130520,《黄帝内经》与古导引,The Endosomatic Classic And Chinese Medicine Exercise 
04130520,《黄帝内经》与古导引,The Endosomatic Classic And Chinese Medicine Exercise 
04330032,中国音乐理论与实践（二）,Chinese Music: Theory and Practice（B） 
04330160,合唱基础,Fundamental of Chorus 
04330177,钢琴音乐理论与实践（二）,Piano（B）  
04330433,贝多芬音乐专题研讨,Topics in Beethoven’s Music：Seminar 
04330440,舞蹈创作排练,Dance Composition and Rehearsal 
04330642,交响乐(初),Symphony  (2)
04330644,交响乐(中),Symphony  (4)
04330646,交响乐(高),Symphony  (6)
04330923,合唱,(中) Chorus  (3)
04330926,合唱,(高) Chorus  (6)
04330942,民族管弦乐,(初) Folk Music  (2)
04330945,民族管弦乐,(高) Folk Music  (5)
04331100,交响乐名曲赏析,Appreciation of Classic Symphony 
04331880,中国画艺术美学,The Chinese Painting Artistic Aesthetics 
04332300,舞蹈原理与鉴赏,Theories and Appreciation of Dance 
04332301,西方舞蹈文化史,The History   of   Westen  Dance   Culture 
04332552,艺术训练（二）,Course of Art Practice  (2)
04332554,艺术训练（四）,Caurse of Art Practice  (4)
04332556,艺术训练（六）,Course of Art Practice  (6)
04332590,中国传统装饰艺术与审美文化,ChineseTraditional Decoration and Aesthetic Culture 
04332661,中国画理论与技法,The theory and the Skills  of Chinese Painting 
04332120,影视音乐,Music of Film & Television 
04333020,美术造型,Composition of Fine Art 
04830450,网络实用技术,Networking Technology and Practices 
04832230,基于安卓平台的程序设计,Android Platform-Based Programming 
04832590,创新工程实践,Innovative Product Engineering Process 
04831811,微纳尺度流体科学与应用,Flow Science at Micro/Nano Scale And Its Applications 
06237020,社会经济调查理论方法与实践,Social Economic Surveys: Theory, Methodology and Practice 
06237020,社会经济调查理论方法与实践,Social Economic Surveys: Theory, Methodology and Practice 
06237020,社会经济调查理论方法与实践,Social Economic Surveys: Theory, Methodology and Practice 
06730070,生活教育－成功人生的基础,Life Education-the Foundation for Successful Living 
00332370,网络经济与电子商务,The Economics of E-Commerce and The Internet 
00332540,全球创新产品设计和团队实践,Principle and Practice of Global Innovation Teams 
00332550,药品质量与全球健康,Pharmaceutical Quality and Global Health 
00332870,太阳能光伏发电系统,Solar Photovoltaic Systems 
00333360,魅力机器人,Fascinating Robot 
00333400,对话全球创新大师,Dialogue with Global Innovation Masters 
01339330,中国古典园林赏析,Traditional Chinese Garden 
01531730,文化地理学,Cultural Geography 
01539230,中国传统建筑,Introduction to Traditional Chinese Architecture 
12638010,海洋科学导论,Introduction to Ocean Science 
19230030,歌剧的魅力(作品篇),The Charm of Opera   (Works part )
19230060,声乐演唱及表演,Singing and Acting 
19930001,创业基础 , 
61030020,大学生职业生涯规划,Career Planning for College Students 
00430109,演示物理学,Demonstration Physics 
00430171,人类生存发展与核科学,Nuclear Science and Human Subsistence and Development 
00432265,现代天文学,Modern Astronomy 
00432268,自然科学中的混沌和分形,Chaos and Fractal in Natural Sciences 
00432530,理论物理导论,Introduction to Theoretical Physics 
00434070,物理宇宙学基础,Basics of Cosmological Physics 
01035090,大学化学,College Chemistry 
01130871,人类的性、生育与健康,Human Sex, Reproduction and Health 
01139350,普通生物学(B),General Biology  (B)
01139380,普通生物学(A),General Biology  (A)
01139390,普通生物学实验(A),General Biology Lab.  (A)
01139390,普通生物学实验(A),General Biology Lab.  (A)
00539410,太空探索,Space Exploring 
01233170,地震概论,Introduction to Seismology 
01233170,地震概论,Introduction to Seismology 
01430020,地史中的生命,Life in Earth History 
01630044,社会心理学,Social Psychology 
01630740,爱的心理学,Psychology of Love 
01639020,心理学概论,Introduction to Psychology 
01831330,中国图书出版史,History of Book and Publishing in China 
01831610,汉语修辞学,Rhetoric in Chinese 
01831760,世界电影史,History of World Cinema 
01831990,跨文化交流学,Inter-cultural Communication 
02031540,中国古代文化,Ancient Chinese Culture 
02031550,小说的艺术,Art of Novel 
02032340,中文工具书及古代典籍概要,Chinese Reference Books and Introduction to Chinese Classic Works 
02032640,《论语》《孟子》导读,Selected Reading from "Lun Yu" and "Meng Zi" 
02033862,中国古代文学经典（二）,Ancient Chinese Literary Canon (II)
02034040,中国现代文学与文化,Modern Chinese Literature and Culture 
02039130,民俗研究,Folklore Study 
02039310,大学语文,College Chinese 
02131110,中国古代政治与文化,Politics and Culture in Traditional China 
02131250,西方文明史导论,Introduction to the History of Western Civilization 
02132750,中国通史,(古代部分) General History of China, 2100B.C. ~ A.D.1840 
02132830,秦汉魏晋南北朝政治历程,The history of Early Chinese Empire 
02138970,中国古代妇女史专题,Selected Topics in Women’s History of  Ancient China 
02131340,近现代中日关系史,The Modern History of Sino--Japan 
02132250,中国近代政治与外交,Politics and Diplomacy of Modern China 
02131080,18,-19世纪欧洲 A History of Europe 1700-1800 
02131460,拉美国家现代化进程研究,Theories and Process: The Modernization of Latin America 
02132730,印度文明史,The history of India civilization 
02330000,哲学导论,Introduction to Philosophy 
02330030,逻辑导论,Introduction to Logic 
02330161,宗教学导论,Introduction to Religious Studies 
02330540,管理哲学,Philosophy of Management 
02331310,逻辑与批判性思维,Logic and Critical Thinking 
02332336,中国佛教史,History of Chinese Buddhism 
02333400,近代西方哲学,Modern Western Philosophy 
02335220,《四书》精读,Intensive reading of the Four Books 
02336162,西方思想经典(三),Classics in Western Intellectual History 
02431560,美国文化与社会,American Culture and Society 
02431580,中国政治概论,Outline of The Chinese Politics 
02431610,中国边疆问题概论,Introduction to The Frontier Problems of China 
